Año;Agricultura, ganadería, selvicultura y pesca;Industrias extractivas;Industria manufacturera;Energía, agua y residuos;Construcción;Otros;Transporte y almacenamiento;Hogares
2008;44.235,2;5.291,8;107.092,4;109.198,9;3.491,5;20.460,1;46.139,2;80.650,4
2009;44.692,4;4.176,3;90.347;94.982,4;3.014;20.096,1;41.068,7;78.546,1
2010;44.546,5;4.487;92.849,2;76.915,2;2.889,7;22.207,4;40.147,7;78.192,9
2011;44.805,4;2.797,1;88.339;91.454,3;2.482,6;22.377,9;38.664,3;71.596
2012;43.998;2.631,7;86.624,4;96.067,9;2.535,9;20.502,4;35.648,5;67.594,1
2013;44.013,2;2.716,1;82.880,6;75.384,1;2.231,8;18.512,7;34.537,4;68.467
2014;46.517,1;2.571,2;81.586,3;78.300;2.005,6;16.817,9;34.566,8;68.946,5
2015;46.243,2;1.309,2;81.676,3;89.881;1.416;14.634,7;37.248,3;71.321
2016;46.197,8;1.686,1;82.802,5;74.043,8;1.600,4;14.851,8;39.022,7;72.135,6
2017;46.692,4;1.757,4;82.756,5;83.913,1;1.585,8;15.289,3;41.874,7;71.999,7
2018;46.840,3;1.863,8;83.720,5;74.438,9;1.735;15.468,2;42.149;73.825,3
2019;46.731,1;1.791,5;81.469,5;58.400,3;1.943,6;15.259,2;43.560,9;72.699,6
2020;47.525,4;1.560,7;75.341,3;44.742,5;1.380,4;13.700,5;31.734,8;61.186,5
2021;47.395,6;1.724,8;79.354;44.988,4;1.622,8;15.380,5;37.000;67.865,2
2022;44.413;1.850,3;74.416,6;55.173,9;1.394,8;15.067;43.002,4;69.120,3
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Industrias extractivas""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Industria manufacturera""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Energía, agua y residuos""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Construcción""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Otros""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Transporte y almacenamiento""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Métrica:""Hogares""";;;;;;;;
"Fuente:""INE""";;;;;;;;
"Clasificación:""""";;;;;;;;
"Unidad:""Toneladas""";;;;;;;;
"Escala:""Miles""";;;;;;;;
"EscalaFactorPotencia10:""3""";;;;;;;;
"SonDatosNumericos:""True""";;;;;;;;
;;;;;;;;
;;;;;;;;
"Url:""https://www.epdata.es/evolucion-emisiones-gases-efecto-invernadero-espana-sector/ef7f95a6-c54f-4ea6-9285-cc03c648ceb2""";;;;;;;;
"Titulo:""Evolución de las emisiones de gases de efecto invernadero en España por actividad""";;;;;;;;
"Subtitulo:""""";;;;;;;;
